sequence,superkingdom,phylum,class,order,family,genus,species
GCF_947251495.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group B) of Pammene fasciana
GCF_947251515.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group A) of Sicus ferrugineus
GCF_947251545.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group A) of Anomoia purmunda
GCF_947251585.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group B) of Ischnura elegans
GCF_947251615.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group A) of Apoderus coryli
GCF_947251635.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group A) of Icerya purchasi
GCF_947251645.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group A) of Bibio marci
GCF_947251665.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group A) of Trypoxylon clavicerum
GCF_947251695.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group A) of Ectemnius continuus
GCF_947251725.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group A) of Tiphia femorata
GCF_947251735.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group B) of Endotricha flammealis
GCF_947251775.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group A) of Epagoge grotiana
GCF_947251795.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group A) of Anoplius nigerrimus
GCF_947251815.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group B) of Chorthippus parallelus
GCF_947251825.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group B) of Camptogramma bilineatum
GCF_947251865.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group B) of Protocalliphora azurea
GCF_947251895.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group A) of Bombylius major
GCF_947251915.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont (group A) of Hylaeus communis
GCF_947539375.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus sp. AMBV1719
GCF_948151475.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio campbellii
GCF_948472415.1,Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Kitasatospora,Kitasatospora sp. DSM 114396
GCF_949152215.1,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Lancefieldella,Lancefieldella sp. Marseille-Q7238
GCF_949769255.1,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus sp. Marseille-Q7826
GCF_949769285.1,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus sp. Marseille-Q7828
GCF_949774925.1,Bacteria,Verrucomicrobiota,Methylacidiphilae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilum,Methylacidiphilum fumariolicum
GCF_949787665.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium phosphoreum
GCF_949790605.1,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium maltaromaticum
GCF_951229915.1,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Ornithobacterium,Candidatus Ornithobacterium hominis
GCF_951792925.1,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii
GCF_951793255.1,Bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio piger
GCF_958304185.1,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,uncultured Erythrobacter sp.
GCF_958439165.1,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,uncultured Hydrogenophaga sp.
GCF_000007225.1,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum aerophilum
GCF_000007345.1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina acetivorans
GCF_000008265.1,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Picrophilaceae,Picrophilus,Picrophilus oshimae
GCF_000011005.1,Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,Methanocella paludicola
GCF_000011105.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus horikoshii
GCF_000011185.1,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma volcanium
GCF_000013445.1,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei
GCF_000013725.1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii
GCF_000014945.1,Archaea,Euryarchaeota,Methanomicrobia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix thermoacetophila
GCF_000015145.1,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,Hyperthermus butylicus
GCF_000015205.1,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum islandicum
GCF_000015225.1,Archaea,Thermoproteota,Thermoprotei,Thermofilales,Thermofilaceae,Thermofilum,Thermofilum pendens
GCF_000015765.1,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum
GCF_000015805.1,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum calidifontis
GCF_000015945.1,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,Staphylothermus marinus
GCF_000016385.1,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum arsenaticum
GCF_000017165.1,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus vannielii
GCF_000017625.1,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,Methanoregula boonei
GCF_000017945.1,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,Ignicoccus hospitalis
GCF_000018305.1,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Caldivirga,Caldivirga maquilingensis
GCF_000018365.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus onnurineus
GCF_000018465.1,Archaea,Nitrososphaerota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus maritimus
GCF_000019805.1,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum neutrophilum
GCF_000021965.1,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanosphaerula,Methanosphaerula palustris
GCF_000022205.1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halorubrum,Halorubrum lacusprofundi
GCF_000022365.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus gammatolerans
GCF_000022485.1,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus
GCF_000022545.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sibiricus
GCF_000023945.1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus utahensis
GCF_000023985.1,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus fervens
GCF_000024185.1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter ruminantium
GCF_000024625.1,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus vulcanius
GCF_000025285.1,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus profundus
GCF_000025325.1,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,Haloterrigena turkmenica
GCF_000025505.1,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,Ferroglobus placidus
GCF_000025625.1,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrialba,Natrialba magadii
GCF_000025665.1,Archaea,Candidatus Thermoplasmatota,,,,Aciduliprofundum,Candidatus Aciduliprofundum boonei
GCF_000026045.1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas pharaonis
GCF_000063445.1,Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,Methanocella arvoryzae
GCF_000092305.1,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus infernus
GCF_000092465.1,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,Staphylothermus hellenicus
GCF_000144915.1,Archaea,Thermoproteota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,Acidilobus saccharovorans
GCF_000147875.1,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanolacinia,Methanolacinia petrolearia
GCF_000151105.2,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus barophilus
GCF_000151205.2,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. AM4
GCF_000166095.1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermaceae,Methanothermus,Methanothermus fervidus
GCF_000179575.2,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,Methanothermococcus okinawensis
GCF_000186365.1,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus mucosus
GCF_000190315.1,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,Vulcanisaeta moutnovskia
GCF_000191585.1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium lacus
GCF_000193375.1,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus uzoniensis
GCF_000194625.1,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus veneficus
GCF_000195915.1,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma acidophilum
GCF_000195935.2,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus abyssi
GCF_000196655.1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalobium,Methanohalobium evestigatum
GCF_000196895.1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halalkalicoccus,Halalkalicoccus jeotgali
GCF_000204415.1,Archaea,Euryarchaeota,Methanomicrobia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix soehngenii
GCF_000204925.1,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera cuprina
GCF_000211475.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus sp. NA2
GCF_000213215.1,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus hospitalis
GCF_000214415.1,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanotorris,Methanotorris igneus
GCF_000214725.1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium paludis
GCF_000215995.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus yayanosii
GCF_000217715.1,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halopiger,Halopiger xanaduensis
GCF_000217995.1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosalsum,Methanosalsum zhilinae
GCF_000223395.1,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrolobus,Pyrolobus fumarii
GCF_000226975.2,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halobiforma,Halobiforma lacisalsi
GCF_000230715.2,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronobacterium,Natronobacterium gregoryi
GCF_000230735.2,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,Natrinema pellirubrum
GCF_000234805.1,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum ferrireducens
GCF_000235565.1,Archaea,Euryarchaeota,Methanomicrobia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanothrix harundinacea
GCF_000243255.1,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoplanus,Methanoplanus limicola
GCF_000246985.2,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus litoralis
GCF_000251105.1,Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,Methanocella conradii
GCF_000253055.1,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus tenax
GCF_000258425.1,Archaea,Thermoproteota,Thermoprotei,Fervidicoccales,Fervidicoccaceae,Fervidicoccus,Fervidicoccus fontis
GCF_000263735.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus sp. ST04
GCF_000264495.1,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermogladius,Thermogladius calderae
GCF_000265525.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus cleftensis
GCF_000275865.1,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanofollis,Methanofollis liminatans
GCF_000299365.1,Archaea,Nitrososphaerota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Candidatus Nitrosopumilus koreensis
GCF_000303155.1,Archaea,Nitrososphaerota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Candidatus Nitrososphaera gargensis
GCF_000304355.2,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanoculleus,Methanoculleus bourgensis
GCF_000317795.1,Archaea,Thermoproteota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,Caldisphaera lagunensis
GCF_000327485.1,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,Methanoregula formicica
GCF_000328525.1,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halovivax,Halovivax ruber
GCF_000328665.1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanomethylovorans,Methanomethylovorans hollandica
GCF_000328685.1,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,Natronococcus occultus
GCF_000385565.1,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus sulfaticallidus
GCF_000403645.1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Natronoarchaeaceae,Salinarchaeum,Salinarchaeum sp. Harcht-Bsk1
GCF_000404165.1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp. AbM4
GCF_000470655.1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorhabdus,Halorhabdus tiamatea
GCF_000517445.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus paralvinellae
GCF_000517625.1,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halostagnicola,Halostagnicola larsenii
GCF_000591055.1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas moolapensis
GCF_000725425.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,Palaeococcus pacificus
GCF_000739065.1,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus bathoardescens
GCF_000769655.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus eurythermalis
GCF_000800805.1,Archaea,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Candidatus Methanoplasma,Candidatus Methanoplasma termitum
GCF_000812185.1,Archaea,Nitrososphaerota,,,,Candidatus Nitrosopelagicus,Candidatus Nitrosopelagicus brevis
GCF_000816105.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus guaymasensis
GCF_000875775.1,Archaea,Nitrososphaerota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus piranensis
GCF_000955905.1,Archaea,Nitrososphaerota,,,,Candidatus Nitrosotenuis,Candidatus Nitrosotenuis cloacae
GCF_000956175.1,Archaea,Nitrososphaerota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus adriaticus
GCF_000969985.1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri
GCF_000970045.1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp. MTP4
GCF_000970265.1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina lacustris
GCF_000970285.1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina horonobensis
GCF_000970305.1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri
GCF_000970325.1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides methylutens
GCF_001006045.1,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus,Geoglobus ahangari
GCF_001412615.1,Archaea,Thermoproteota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,Pyrodictium delaneyi
GCF_001433455.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus barophilus
GCF_001477655.1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter millerae
GCF_001488575.1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium hubeiense
GCF_001548675.1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp. YE315
GCF_001563245.1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter olleyae
GCF_001577775.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus kukulkanii
GCF_001592435.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus peptonophilus
GCF_001647085.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus piezophilus
GCF_001719125.1,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus sp. A20
GCF_001971705.1,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronorubrum,Natronorubrum daqingense
GCF_001989615.1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorientalis,Halorientalis sp. IM1011
GCF_002025255.2,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halolamina,Halolamina sp. CBA1230
GCF_002116695.1,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus manzaensis
GCF_002156705.1,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrarchaeobaculum,Natrarchaeobaculum aegyptiacum
GCF_002156965.1,Archaea,Nitrososphaerota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosomarinus,Candidatus Nitrosomarinus catalina
GCF_002214365.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus celer
GCF_002214385.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus gorgonarius
GCF_002214485.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus pacificus
GCF_002214505.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus siculi
GCF_002214525.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus sp. P6
GCF_002214585.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus profundus
GCF_002355635.1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halopenitus,Halopenitus persicus
GCF_002355655.1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halorubrum,Halorubrum trapanicum
GCF_002787055.1,Archaea,Nitrososphaerota,,,,Candidatus Nitrosotenuis,Candidatus Nitrosotenuis aquarius
GCF_002788215.1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halohasta,Halohasta litchfieldiae
GCF_002844335.1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula taiwanensis
GCF_002906575.1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Salinigranum,Salinigranum rubrum
GCF_002952775.1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halalkaliarchaeum,Halalkaliarchaeum desulfuricum
GCF_003058365.1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halococcoides,Halococcoides cellulosivorans
GCF_003201675.2,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera hakonensis
GCF_003201765.2,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus sulfidivorans
GCF_003201835.2,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus brierleyi
GCF_003268005.1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera sp. BMS
GCF_003351865.1,Archaea,Euryarchaeota,Methanococci,Methanococcales,,Methanofervidicoccus,Methanofervidicoccus sp. A16
GCF_003431325.1,Archaea,Thermoproteota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,Acidilobus sp. 7A
GCF_003721175.2,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,Halarchaeum sp. CBA1220
GCF_003721435.2,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halorubrum,Halorubrum sp. CBA1229
GCF_003856835.1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,Haloplanus aerogenes
GCF_003967175.1,Archaea,Thermoproteota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfodiicoccus,Sulfodiicoccus acidiphilus
GCF_003990725.2,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halorubrum,Halorubrum sp. PV6
GCF_004087835.1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haladaptataceae,Halorussus,Halorussus pelagicus
GCF_004114375.1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halorubrum,Halorubrum sp. BOL3-1
GCF_004126515.1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halorubrum,Halorubrum ezzemoulense
GCF_004799665.1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,Halapricum salinum
GCF_004799685.1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,Halobellus limi
GCF_005155585.1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloprofundus,Haloprofundus sp. MHR1
GCF_005576615.1,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natrinema,Natrinema versiforme
GCF_006274605.1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus indicus
GCF_007833275.1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Salarchaeum,Salarchaeum sp. JOR-1
